filename                                CCSD(T)/CBS_(kcal/mol)

01_Water-Water_0.90.xyz                 -4.573
01_Water-Water_0.95.xyz                 -4.884
01_Water-Water_1.00.xyz                 -4.894
01_Water-Water_1.05.xyz                 -4.723
01_Water-Water_1.10.xyz                 -4.451
01_Water-Water_1.25.xyz                 -3.457
01_Water-Water_1.50.xyz                 -2.108
01_Water-Water_2.00.xyz                 -0.871
02_Water-MeOH_0.90.xyz                  -5.194
02_Water-MeOH_0.95.xyz                  -5.550
02_Water-MeOH_1.00.xyz                  -5.569
02_Water-MeOH_1.05.xyz                  -5.381
02_Water-MeOH_1.10.xyz                  -5.076
02_Water-MeOH_1.25.xyz                  -3.944
02_Water-MeOH_1.50.xyz                  -2.385
02_Water-MeOH_2.00.xyz                  -0.951
03_Water-MeNH2_0.90.xyz                 -6.493
03_Water-MeNH2_0.95.xyz                 -6.870
03_Water-MeNH2_1.00.xyz                 -6.875
03_Water-MeNH2_1.05.xyz                 -6.648
03_Water-MeNH2_1.10.xyz                 -6.284
03_Water-MeNH2_1.25.xyz                 -4.919
03_Water-MeNH2_1.50.xyz                 -2.977
03_Water-MeNH2_2.00.xyz                 -1.140
04_Water-Peptide_0.90.xyz               -7.634
04_Water-Peptide_0.95.xyz               -8.055
04_Water-Peptide_1.00.xyz               -8.075
04_Water-Peptide_1.05.xyz               -7.843
04_Water-Peptide_1.10.xyz               -7.462
04_Water-Peptide_1.25.xyz               -5.994
04_Water-Peptide_1.50.xyz               -3.832
04_Water-Peptide_2.00.xyz               -1.436
05_MeOH-MeOH_0.90.xyz                   -5.279
05_MeOH-MeOH_0.95.xyz                   -5.691
05_MeOH-MeOH_1.00.xyz                   -5.745
05_MeOH-MeOH_1.05.xyz                   -5.578
05_MeOH-MeOH_1.10.xyz                   -5.283
05_MeOH-MeOH_1.25.xyz                   -4.141
05_MeOH-MeOH_1.50.xyz                   -2.524
05_MeOH-MeOH_2.00.xyz                   -1.009
06_MeOH-MeNH2_0.90.xyz                  -6.972
06_MeOH-MeNH2_0.95.xyz                  -7.472
06_MeOH-MeNH2_1.00.xyz                  -7.540
